asset_id,type,description,source_or_parent,version,status,used_in_shots,tags
LOC-HALL,location,"the Ward house hallway: narrow, inoffensive wallpaper, a cheap hardware-store wall calendar, and fou",production/05-assets/locations-and-props.md,v1.0,APPROVED,8 shots,location;locked
LOC-KITCHEN,location,"the Ward house kitchen: small, warm, lived-in, mismatched wooden chairs, a scratched laminate table,",production/05-assets/locations-and-props.md,v1.0,APPROVED,103 shots,location;locked
LOC-LIVING,location,"the Ward house living room: a worn fabric couch, one armchair, a low wooden coffee table, two table ",production/05-assets/locations-and-props.md,v1.0,APPROVED,181 shots,location;locked
LOC-MOTEL,location,"a low two-storey motel beside a state highway at night in hard rain, external walkway, twelve doors,",production/05-assets/locations-and-props.md,v1.0,APPROVED,1 shots,location;locked
LOC-PALE,location,"a room lit uniformly from every direction so that nothing casts a shadow and no corner is locatable,",production/05-assets/locations-and-props.md,v1.0,APPROVED,8 shots,location;locked
LOC-ELSEWHERE,location,"an unidentifiable exterior at night in hard rain, harsh unmotivated light from off-frame, wet asphal",production/05-assets/locations-and-props.md,v1.0,APPROVED,1 shots,location;locked
LGT-GOLDEN,lighting state,"late afternoon daylight, low warm sun, long soft shadows, gentle contrast",production/05-assets/lookbook.md,v1.0,APPROVED,20 shots,lighting;locked
LGT-WARM,lighting state,"warm domestic tungsten practicals, two table lamps, soft falloff, cosy amber key, comfortable contra",production/05-assets/lookbook.md,v1.0,APPROVED,6 shots,lighting;locked
LGT-WARM_LOW,lighting state,"a single warm table lamp, most of the room in soft shadow, faces modelled from one side",production/05-assets/lookbook.md,v1.0,APPROVED,83 shots,lighting;locked
LGT-KITCHEN_OVERHEAD,lighting state,"a single warm overhead kitchen fixture, hard-ish top light, clean and slightly clinical against the ",production/05-assets/lookbook.md,v1.0,APPROVED,85 shots,lighting;locked
LGT-COLD_PANE,lighting state,"the only light source is the flat cold blue-white pane, lighting faces from below and in front, warm",production/05-assets/lookbook.md,v1.0,APPROVED,76 shots,lighting;locked
LGT-MIXED,lighting state,"warm practical lamp on one side of the face, cold pane light on the other, the two colours meeting o",production/05-assets/lookbook.md,v1.0,APPROVED,20 shots,lighting;locked
LGT-BLACKOUT,lighting state,"total interior darkness except spill from the street through curtains, cool and low, faces barely mo",production/05-assets/lookbook.md,v1.0,APPROVED,6 shots,lighting;locked
LGT-STREET_NIGHT,lighting state,"sodium street lighting, wet ground, warm windows in other houses, cool ambient sky",production/05-assets/lookbook.md,v1.0,APPROVED,6 shots,lighting;locked
LGT-TV_ONLY,lighting state,"flickering low television light, otherwise dark, cool and unstable",production/05-assets/lookbook.md,v1.0,APPROVED,9 shots,lighting;locked
LGT-PALE_FLAT,lighting state,"perfectly even shadowless illumination from all directions, no key, no fill, no modelling",production/05-assets/lookbook.md,v1.0,APPROVED,8 shots,lighting;locked
LGT-DEGRADED,lighting state,"harsh unmotivated light in heavy rain, blown highlights, crushed shadows, degraded recovered-footage",production/05-assets/lookbook.md,v1.0,APPROVED,1 shots,lighting;locked
M01,music cue,"Ordinary - solo felt piano, two notes, unresolved, very sparse",production/07-post/music-cue-sheet.md,v1.0,APPROVED,12 shots,music;cue
M02,music cue,"Title - one sustained low synth tone, unresolved, no rhythm",production/07-post/music-cue-sheet.md,v1.0,APPROVED,1 shots,music;cue
M03,music cue,"The Box - bowed double bass sub-harmonic, near-inaudible, rising",production/07-post/music-cue-sheet.md,v1.0,APPROVED,13 shots,music;cue
M04,music cue,The Eye - silence - score OUT,production/07-post/music-cue-sheet.md,v1.0,APPROVED,5 shots,music;cue
M05,music cue,"Signal - processed room tone and a single detuned string, breathing",production/07-post/music-cue-sheet.md,v1.0,APPROVED,5 shots,music;cue
M06,music cue,Her Face - silence - score OUT,production/07-post/music-cue-sheet.md,v1.0,APPROVED,7 shots,music;cue
M07,music cue,"Containment - low strings, slow, mechanical, no melody",production/07-post/music-cue-sheet.md,v1.0,APPROVED,6 shots,music;cue
M08,music cue,"The Date - felt piano returns from M01, alone, slower, in a minor colour",production/07-post/music-cue-sheet.md,v1.0,APPROVED,7 shots,music;cue
M09,music cue,The Fight - silence - score OUT,production/07-post/music-cue-sheet.md,v1.0,APPROVED,4 shots,music;cue
M10,music cue,"Clause Three - sub-bass swell and a single high sine, no percussion",production/07-post/music-cue-sheet.md,v1.0,APPROVED,4 shots,music;cue
M11,music cue,"Listening - pulse of filtered noise on the countdown's second, felt not heard",production/07-post/music-cue-sheet.md,v1.0,APPROVED,10 shots,music;cue
M12,music cue,"Count Backwards - M01's two piano notes, alone, unbearably slow",production/07-post/music-cue-sheet.md,v1.0,APPROVED,7 shots,music;cue
M13,music cue,"Nothing Whole - low strings and sub, tightening",production/07-post/music-cue-sheet.md,v1.0,APPROVED,9 shots,music;cue
M14,music cue,"It's Me - everything drops out to a single tone, then nothing",production/07-post/music-cue-sheet.md,v1.0,APPROVED,6 shots,music;cue
M15,music cue,"End Card - the M02 tone, resolved a semitone lower",production/07-post/music-cue-sheet.md,v1.0,APPROVED,1 shots,music;cue
M16,music cue,"Tag - no music, room tone only",production/07-post/music-cue-sheet.md,v1.0,APPROVED,1 shots,music;cue
SH0001,shot,"The street, flattened by a long lens. Nothing happens for six seconds. A sedan crosses frame left to",SC-01,v1,READY-TO-GENERATE,SH0001,shot;teaser;xwide
SH0002,shot,The fourth house. Nothing distinguishes it. A kitchen window on the left side warms as a light is sw,SC-01,v1,READY-TO-GENERATE,SH0002,shot;teaser;wide
SH0003,shot,"The kitchen entire. LAUREN at the stove with three pans going, none of them well, entirely happy. MI",SC-02,v1,READY-TO-GENERATE,SH0003,shot;teaser;wide-2s
SH0004,shot,"MILES, holding up an envelope, not looking up.",SC-02,v1,READY-TO-GENERATE,SH0004,shot;teaser;mcu
SH0005,shot,"LAUREN at the stove, over her shoulder.",SC-02,v1,READY-TO-GENERATE,SH0005,shot;teaser;mcu
SH0006,shot,MILES turns the envelope over.,SC-02,v1,READY-TO-GENERATE,SH0006,shot;teaser;mcu
SH0007,shot,"LAUREN, deadpan, still cooking.",SC-02,v1,READY-TO-GENERATE,SH0007,shot;teaser;mcu
SH0008,shot,She reaches past him for the salt. Without looking up he shifts his weight out of her way at precise,SC-02,v1,READY-TO-GENERATE,SH0008,shot;teaser;med-2s
SH0009,shot,LAUREN turns with a wooden spoon held out.,SC-02,v1,READY-TO-GENERATE,SH0009,shot;teaser;mcu
SH0010,shot,"MILES, not moving.",SC-02,v1,READY-TO-GENERATE,SH0010,shot;teaser;mcu
SH0011,shot,He gives in and tastes it off the spoon. He considers. He considers for noticeably longer than is fl,SC-02,v1,READY-TO-GENERATE,SH0011,shot;teaser;cu
SH0012,shot,"MILES, diplomatic.",SC-02,v1,READY-TO-GENERATE,SH0012,shot;teaser;mcu
SH0013,shot,"LAUREN, instantly.",SC-02,v1,READY-TO-GENERATE,SH0013,shot;teaser;mcu
SH0014,shot,The two of them.,SC-02,v1,READY-TO-GENERATE,SH0014,shot;teaser;med-2s
SH0015,shot,"Beat. Miles laughs - a short exhale through the nose. She goes back to the stove, pleased with herse",SC-02,v1,READY-TO-GENERATE,SH0015,shot;teaser;med-2s
SH0016,shot,"LAUREN crosses to the fridge, takes a pen off a magnet, and adds a line to the notepad stuck there.",SC-02,v1,READY-TO-GENERATE,SH0016,shot;teaser;med
SH0017,shot,The notepad. Her handwriting: 'bins - Thurs'. Below it she begins to write a time and forms the nume,SC-02,v1,READY-TO-GENERATE,SH0017,shot;teaser;ecu-insert
SH0018,shot,She caps the pen without ceremony and puts it back on the magnet.,SC-02,v1,READY-TO-GENERATE,SH0018,shot;teaser;med
SH0019,shot,The smoke detector on the kitchen ceiling. A single low chirp.,SC-02,v1,READY-TO-GENERATE,SH0019,shot;teaser;cu-insert
SH0020,shot,Neither of them looks up.,SC-02,v1,READY-TO-GENERATE,SH0020,shot;teaser;med-2s
SH0021,shot,"MILES carries the mail through the narrow hallway, camera following at his shoulder. He passes four ",SC-03,v1,READY-TO-GENERATE,SH0021,shot;teaser;med-track
SH0022,shot,"LAUREN comes out of the kitchen behind him, drying her hands.",SC-03,v1,READY-TO-GENERATE,SH0022,shot;teaser;med
SH0023,shot,"MILES, walking away, not slowing.",SC-03,v1,READY-TO-GENERATE,SH0023,shot;teaser;med
SH0024,shot,LAUREN stops. She looks at the four bare nails for a moment. Then she follows him.,SC-03,v1,READY-TO-GENERATE,SH0024,shot;teaser;mcu
SH0025,shot,The living room. Two lamps and a television playing an old black-and-white film with the sound low. ,SC-04,v1,READY-TO-GENERATE,SH0025,shot;teaser;wide-2s
SH0026,shot,On the television: a woman in a coat stands on a railway platform in black and white.,SC-04,v1,READY-TO-GENERATE,SH0026,shot;teaser;insert-tv
SH0027,shot,"MILES, quietly, to nobody.",SC-04,v1,READY-TO-GENERATE,SH0027,shot;teaser;mcu
SH0028,shot,Three seconds later the detective on screen says something to precisely that effect.,SC-04,v1,READY-TO-GENERATE,SH0028,shot;teaser;insert-tv
SH0029,shot,LAUREN turns her head to look at him.,SC-04,v1,READY-TO-GENERATE,SH0029,shot;teaser;mcu
SH0030,shot,He shrugs it off. She doesn't buy it and doesn't press.,SC-04,v1,READY-TO-GENERATE,SH0030,shot;teaser;med-2s
SH0031,shot,"LAUREN reaches for her phone, thumbs the camera open, and lifts it toward him.",SC-04,v1,READY-TO-GENERATE,SH0031,shot;teaser;med
SH0032,shot,"MILES turns his face away - instantly, smoothly, into her shoulder. Played entirely as a joke. It is",SC-04,v1,READY-TO-GENERATE,SH0032,shot;teaser;med-2s
SH0033,shot,"LAUREN lowers the phone, smiling. The smile stays one beat past where it should. Then she puts the p",SC-04,v1,READY-TO-GENERATE,SH0033,shot;teaser;mcu
SH0034,shot,"Outside, distantly: music, and people laughing. A party two doors down.",SC-04,v1,READY-TO-GENERATE,SH0034,shot;teaser;med-2s
SH0035,shot,,SC-04,v1,READY-TO-GENERATE,SH0035,shot;teaser;med-2s
SH0036,shot,"LAUREN looks toward the window, and the noise, and the ordinary street.",SC-04,v1,READY-TO-GENERATE,SH0036,shot;teaser;mcu
SH0037,shot,MILES looks at her. A quarter of a second too long.,SC-04,v1,READY-TO-GENERATE,SH0037,shot;teaser;mcu
SH0038,shot,"She indicates the window, meaning the neighbours.",SC-04,v1,READY-TO-GENERATE,SH0038,shot;teaser;med-2s
SH0039,shot,MILES holds the look a beat longer than the joke needs. Then he looks away.,SC-04,v1,READY-TO-GENERATE,SH0039,shot;teaser;mcu
SH0040,shot,MILES at the front door. He turns the deadbolt. Solid. Done. He takes two steps away.,SC-05,v1,READY-TO-GENERATE,SH0040,shot;teaser;med
SH0041,shot,He comes back and turns it again. Then tests it with the flat of his palm.,SC-05,v1,READY-TO-GENERATE,SH0041,shot;teaser;cu
SH0042,shot,He leans in to the narrow window beside the door and looks down the street. Left. Then right. Then b,SC-05,v1,READY-TO-GENERATE,SH0042,shot;teaser;med
SH0043,shot,LAUREN in the hall behind him with a glass of water. She says nothing. She has watched him do this a,SC-05,v1,READY-TO-GENERATE,SH0043,shot;teaser;med
SH0044,shot,"She turns back toward the kitchen. As she passes the wall, the camera drifts off her and finds a che",SC-05,v1,READY-TO-GENERATE,SH0044,shot;teaser;med-track
SH0045,shot,"The living room. The film plays. Lauren settles. Miles comes in and sits. For a moment, nothing at a",SC-06,v1,READY-TO-GENERATE,SH0045,shot;teaser;wide-2s
SH0046,shot,THE DOORBELL. Neither of them moves.,SC-06,v1,READY-TO-GENERATE,SH0046,shot;teaser;med-2s
SH0047,shot,They look at each other. The pause after the second question is far longer than the question deserve,SC-06,v1,READY-TO-GENERATE,SH0047,shot;teaser;med-2s
SH0048,shot,MILES unlocks and opens the door on the chain first. Then all the way.,SC-06,v1,READY-TO-GENERATE,SH0048,shot;teaser;med
SH0049,shot,"MILES' POV: the porch is empty. The street is empty. The mat is dark with rain. On the mat, dead cen",SC-06,v1,READY-TO-GENERATE,SH0049,shot;teaser;wide-pov
SH0050,shot,"Black. A single low sustained tone, unresolved, more felt than heard. The main title resolves out of",TITLE,v1,READY-TO-GENERATE,SH0050,shot;title;title
SH0051,shot,The entry hall. The box sits on the floor where Miles set it down. Neither of them has come closer t,SC-07,v1,READY-TO-GENERATE,SH0051,shot;act-one;wide
SH0052,shot,MILES.,SC-07,v1,READY-TO-GENERATE,SH0052,shot;act-one;mcu
SH0053,shot,LAUREN is already crouched beside it with her palm flat on the top. She always touches first. It is ,SC-07,v1,READY-TO-GENERATE,SH0053,shot;act-one;med
SH0054,shot,,SC-07,v1,READY-TO-GENERATE,SH0054,shot;act-one;med-2s
SH0055,shot,"Her thumb travels along an edge of the box. Every corner is sharp. No crush, no scuff, no thumbprint",SC-07,v1,READY-TO-GENERATE,SH0055,shot;act-one;ecu-insert
SH0056,shot,He crouches beside her. Looks. Says nothing at all.,SC-07,v1,READY-TO-GENERATE,SH0056,shot;act-one;med-2s
SH0057,shot,"The kitchen. They have put the box under the overhead light, on the table, on a folded tea towel - a",SC-08,v1,READY-TO-GENERATE,SH0057,shot;act-one;wide-2s
SH0058,shot,LAUREN turns the box. On one face: a label.,SC-08,v1,READY-TO-GENERATE,SH0058,shot;act-one;med
SH0059,shot,"THE LABEL. White, printed, correct in every visual respect and wrong in every specific one. Their ad",SC-08,v1,READY-TO-GENERATE,SH0059,shot;act-one;ecu-insert
SH0060,shot,,SC-08,v1,READY-TO-GENERATE,SH0060,shot;act-one;med-2s
SH0061,shot,"Lower on the label, in blue ballpoint, in a small neat hand: '1 of 1', and a six-digit consignment n",SC-08,v1,READY-TO-GENERATE,SH0061,shot;act-one;ecu-insert
SH0062,shot,LAUREN leans closer. Her eyes travel down to the handwritten line. And she stops. Everything about h,SC-08,v1,READY-TO-GENERATE,SH0062,shot;act-one;cu
SH0063,shot,,SC-08,v1,READY-TO-GENERATE,SH0063,shot;act-one;med-2s
SH0064,shot,She puts her hand flat over the bottom of the label. Which is not nothing.,SC-08,v1,READY-TO-GENERATE,SH0064,shot;act-one;cu-insert
SH0065,shot,MILES watches her hand. He does not ask again.,SC-08,v1,READY-TO-GENERATE,SH0065,shot;act-one;mcu
SH0066,shot,"MILES, flat, already planning.",SC-08,v1,READY-TO-GENERATE,SH0066,shot;act-one;med
SH0067,shot,,SC-08,v1,READY-TO-GENERATE,SH0067,shot;act-one;med-2s
SH0068,shot,He has nothing.,SC-08,v1,READY-TO-GENERATE,SH0068,shot;act-one;mcu
SH0069,shot,"LAUREN, reasonable, which is worse.",SC-08,v1,READY-TO-GENERATE,SH0069,shot;act-one;mcu
SH0070,shot,A long moment. The refrigerator cycles on. Rain restarts against the window over the sink.,SC-08,v1,READY-TO-GENERATE,SH0070,shot;act-one;wide-2s
SH0071,shot,,SC-08,v1,READY-TO-GENERATE,SH0071,shot;act-one;med-2s
SH0072,shot,"LAUREN, softer than she was.",SC-08,v1,READY-TO-GENERATE,SH0072,shot;act-one;mcu
SH0073,shot,She takes a knife from the block. The good one.,SC-08,v1,READY-TO-GENERATE,SH0073,shot;act-one;cu-insert
SH0074,shot,The blade goes through the tape. It is a small sound and it is enormous.,SC-08,v1,READY-TO-GENERATE,SH0074,shot;act-one;ecu-insert
SH0075,shot,She cuts the second seam. The third. Nobody speaks. The refrigerator hums. Rain. A car two streets o,SC-08,v1,READY-TO-GENERATE,SH0075,shot;act-one;med-2s
SH0076,shot,"CHIRP. They both flinch, hard - and then immediately laugh at themselves, badly, with far too much a",SC-08,v1,READY-TO-GENERATE,SH0076,shot;act-one;med-2s
SH0077,shot,She opens the flaps.,SC-09,v1,READY-TO-GENERATE,SH0077,shot;act-one;med
SH0078,shot,"Inside: grey foam, cut to shape. No packing slip, no manual, no plastic, no desiccant. Set into the ",SC-09,v1,READY-TO-GENERATE,SH0078,shot;act-one;ecu-insert
SH0079,shot,Neither of them says anything for a while. It does not look futuristic. It looks finished.,SC-09,v1,READY-TO-GENERATE,SH0079,shot;act-one;med-2s
SH0080,shot,"MILES, quietly.",SC-09,v1,READY-TO-GENERATE,SH0080,shot;act-one;mcu
SH0081,shot,LAUREN lifts it out of the foam. Two hands.,SC-09,v1,READY-TO-GENERATE,SH0081,shot;act-one;med
SH0082,shot,"She holds it out. He takes it two-handed, the way you take something borrowed. It is far heavier tha",SC-09,v1,READY-TO-GENERATE,SH0082,shot;act-one;cu
SH0083,shot,"He adjusts his grip. He tilts the pane slowly. The MASS SHIFTS ACROSS IT - unhurried, a beat behind ",SC-09,v1,READY-TO-GENERATE,SH0083,shot;act-one;ecu-insert
SH0084,shot,"He sets it down flat on the table. Carefully. He takes his hand off, then puts two fingers back on i",SC-09,v1,READY-TO-GENERATE,SH0084,shot;act-one;med
SH0085,shot,"She slides her hand underneath, palm up, against the other face.",SC-09,v1,READY-TO-GENERATE,SH0085,shot;act-one;med-2s
SH0086,shot,They look at each other.,SC-09,v1,READY-TO-GENERATE,SH0086,shot;act-one;cu-2s
SH0087,shot,Miles turns the pane over and sets it down again. Lauren touches the top face. Then the underside.,SC-09,v1,READY-TO-GENERATE,SH0087,shot;act-one;ecu-insert
SH0088,shot,"LAUREN sits down. Slowly. Not because she is frightened - because she is thinking, and thinking is w",SC-09,v1,READY-TO-GENERATE,SH0088,shot;act-one;med
SH0089,shot,"The kitchen is held in the pane. Dimly. The lamp, the cabinets, the shape of her own shoulder.",SC-09,v1,READY-TO-GENERATE,SH0089,shot;act-one;ecu-insert
SH0090,shot,"She raises her hand. The hand in the pane raises - LATE. She lowers it. Raises it again, watching. D",SC-09,v1,READY-TO-GENERATE,SH0090,shot;act-one;ecu-insert
SH0091,shot,,SC-09,v1,READY-TO-GENERATE,SH0091,shot;act-one;med-2s
SH0092,shot,His voice has changed. Flattened. She looks up at him.,SC-09,v1,READY-TO-GENERATE,SH0092,shot;act-one;cu
SH0093,shot,MILES has stopped moving. Completely. Both hands flat on the table. He is not looking at her. He is ,SC-09,v1,READY-TO-GENERATE,SH0093,shot;act-one;mcu
SH0094,shot,LAUREN.,SC-09,v1,READY-TO-GENERATE,SH0094,shot;act-one;cu
SH0095,shot,Nothing. He does not hear her.,SC-09,v1,READY-TO-GENERATE,SH0095,shot;act-one;mcu
SH0096,shot,"THE PANE WAKES. Not an image, not a menu, not a logo. AN EYE - filling the whole surface. Wet. Livin",SC-09,v1,READY-TO-GENERATE,SH0096,shot;act-one;ecu-insert
SH0097,shot,"The refrigerator hums. Lauren stares at the dead pane. Then, slowly, up at her husband.",SC-09,v1,READY-TO-GENERATE,SH0097,shot;act-one;med-2s
SH0098,shot,"MILES has gone white. Absolutely white, from the collar up.",SC-09,v1,READY-TO-GENERATE,SH0098,shot;act-one;cu
SH0099,shot,"LAUREN, watching him understand something.",SC-09,v1,READY-TO-GENERATE,SH0099,shot;act-one;cu
SH0100,shot,He does not answer. SMASH TO BLACK.,SC-09,v1,READY-TO-GENERATE,SH0100,shot;act-one;mcu
SH0101,shot,"MILES moves, fast. He has the box in one hand and is reaching for the pane with the other.",SC-10,v1,READY-TO-GENERATE,SH0101,shot;act-two;med
SH0102,shot,,SC-10,v1,READY-TO-GENERATE,SH0102,shot;act-two;med-2s
SH0103,shot,"He stops, one hand over the pane.",SC-10,v1,READY-TO-GENERATE,SH0103,shot;act-two;mcu
SH0104,shot,LAUREN.,SC-10,v1,READY-TO-GENERATE,SH0104,shot;act-two;cu
SH0105,shot,,SC-10,v1,READY-TO-GENERATE,SH0105,shot;act-two;mcu
SH0106,shot,,SC-10,v1,READY-TO-GENERATE,SH0106,shot;act-two;cu
SH0107,shot,,SC-10,v1,READY-TO-GENERATE,SH0107,shot;act-two;med-2s
SH0108,shot,,SC-10,v1,READY-TO-GENERATE,SH0108,shot;act-two;med
SH0109,shot,She does not raise her voice. She puts one hand flat on the pane and leaves it there and looks at hi,SC-10,v1,READY-TO-GENERATE,SH0109,shot;act-two;med-2s
SH0110,shot,,SC-10,v1,READY-TO-GENERATE,SH0110,shot;act-two;mcu
SH0111,shot,,SC-10,v1,READY-TO-GENERATE,SH0111,shot;act-two;mcu
SH0112,shot,,SC-10,v1,READY-TO-GENERATE,SH0112,shot;act-two;cu
SH0113,shot,"Back down, immediately.",SC-10,v1,READY-TO-GENERATE,SH0113,shot;act-two;med-2s
SH0114,shot,"MILES, very quiet.",SC-10,v1,READY-TO-GENERATE,SH0114,shot;act-two;mcu
SH0115,shot,"LAUREN says it flat and fast, without effort, the way you say a thing you have said ten thousand tim",SC-10,v1,READY-TO-GENERATE,SH0115,shot;act-two;cu
SH0116,shot,,SC-10,v1,READY-TO-GENERATE,SH0116,shot;act-two;cu
SH0117,shot,Something crosses him.,SC-10,v1,READY-TO-GENERATE,SH0117,shot;act-two;mcu
SH0118,shot,,SC-10,v1,READY-TO-GENERATE,SH0118,shot;act-two;cu
SH0119,shot,She takes her hand off the pane.,SC-10,v1,READY-TO-GENERATE,SH0119,shot;act-two;med-2s
SH0120,shot,"She picks the leaf up. Both hands, careful, like a tray.",SC-10,v1,READY-TO-GENERATE,SH0120,shot;act-two;med
SH0121,shot,"She puts it down. Flat on the coffee table, dead centre. She sits back on the couch.",SC-11,v1,READY-TO-GENERATE,SH0121,shot;act-two;wide
SH0122,shot,"MILES stays standing in the doorway - which is exactly between Lauren and the front hall, and he doe",SC-11,v1,READY-TO-GENERATE,SH0122,shot;act-two;wide-2s
SH0123,shot,Nothing happens. Nothing keeps happening. Lauren pulls a cushion into her lap. Miles shifts his weig,SC-11,v1,READY-TO-GENERATE,SH0123,shot;act-two;med-2s
SH0124,shot,,SC-11,v1,READY-TO-GENERATE,SH0124,shot;act-two;mcu
SH0125,shot,"THE LEAF WAKES. No sound, no boot, no logo. The light simply arrives, and it is on their faces. Mile",SC-11,v1,READY-TO-GENERATE,SH0125,shot;act-two;wide-2s
SH0126,shot,"ON THE PANE: a face in darkness, lit from somewhere low and moving, so that light shifts across it s",SC-11,v1,READY-TO-GENERATE,SH0126,shot;act-two;ecu-insert
SH0127,shot,LAUREN does not move. Neither does Miles.,SC-11,v1,READY-TO-GENERATE,SH0127,shot;act-two;cu
SH0128,shot,,SC-11,v1,READY-TO-GENERATE,SH0128,shot;act-two;ecu-insert
SH0129,shot,Lauren's hand has gone to her own mouth without her deciding to do it.,SC-11,v1,READY-TO-GENERATE,SH0129,shot;act-two;cu
SH0130,shot,,SC-11,v1,READY-TO-GENERATE,SH0130,shot;act-two;ecu-insert
SH0131,shot,,SC-11,v1,READY-TO-GENERATE,SH0131,shot;act-two;cu
SH0132,shot,,SC-11,v1,READY-TO-GENERATE,SH0132,shot;act-two;ecu-insert
SH0133,shot,Lauren's other hand closes over her own left wrist.,SC-11,v1,READY-TO-GENERATE,SH0133,shot;act-two;cu-insert
SH0134,shot,,SC-11,v1,READY-TO-GENERATE,SH0134,shot;act-two;ecu-insert
SH0135,shot,LAUREN makes a sound. Not a word.,SC-11,v1,READY-TO-GENERATE,SH0135,shot;act-two;cu
SH0136,shot,MILES takes one step into the room.,SC-11,v1,READY-TO-GENERATE,SH0136,shot;act-two;med
SH0137,shot,The face does not answer him. But she is looking at him. She has been looking at him this entire tim,SC-11,v1,READY-TO-GENERATE,SH0137,shot;act-two;ecu-insert
SH0138,shot,To Lauren.,SC-11,v1,READY-TO-GENERATE,SH0138,shot;act-two;ecu-insert
SH0139,shot,,SC-11,v1,READY-TO-GENERATE,SH0139,shot;act-two;cu
SH0140,shot,,SC-11,v1,READY-TO-GENERATE,SH0140,shot;act-two;ecu-insert
SH0141,shot,She talks over him without hurrying.,SC-11,v1,READY-TO-GENERATE,SH0141,shot;act-two;med-2s
SH0142,shot,,SC-11,v1,READY-TO-GENERATE,SH0142,shot;act-two;cu
SH0143,shot,,SC-11,v1,READY-TO-GENERATE,SH0143,shot;act-two;ecu-insert
SH0144,shot,MILES crosses the room fast. He gets one hand flat on the pane - and stops. Because his hand is on i,SC-11,v1,READY-TO-GENERATE,SH0144,shot;act-two;med
