shot_id,runtime,scene,time_of_day,characters,wardrobe,miles_state,lauren_state,leaf_location,leaf_state,house_power,weather,device_temp_rule,photos_on_wall,flags
SH0067,05:35,SC-08,night,MB,WRD-M-A + WRD-L-A,guarded,escalating,in the box,dormant,on,light rain,-,NONE - four bare hooks,
SH0068,05:41,SC-08,night,M,WRD-M-A,guarded,escalating,in the box,dormant,on,light rain,-,NONE - four bare hooks,
SH0069,05:45,SC-08,night,L,WRD-L-A,guarded,escalating,in the box,dormant,on,light rain,-,NONE - four bare hooks,
SH0070,05:52,SC-08,night,MB,WRD-M-A + WRD-L-A,guarded,escalating,in the box,dormant,on,light rain,-,NONE - four bare hooks,
SH0071,06:00,SC-08,night,MB,WRD-M-A + WRD-L-A,guarded,escalating,in the box,dormant,on,light rain,-,NONE - four bare hooks,
SH0072,06:09,SC-08,night,L,WRD-L-A,guarded,escalating,in the box,dormant,on,light rain,-,NONE - four bare hooks,
SH0073,06:14,SC-08,night,NONE,-,guarded,escalating,in the box,dormant,on,light rain,-,NONE - four bare hooks,
SH0074,06:18,SC-08,night,NONE,-,guarded,escalating,in the box,dormant,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0075,06:24,SC-08,night,MB,WRD-M-A + WRD-L-A,guarded,escalating,in the box,dormant,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0076,06:33,SC-08,night,MB,WRD-M-A + WRD-L-A,guarded,escalating,in the box,dormant,on,light rain,-,NONE - four bare hooks,
SH0077,06:36,SC-09,night,L,WRD-L-A,guarded,escalating,kitchen table,dormant/cold,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0078,06:41,SC-09,night,NONE,-,guarded,escalating,kitchen table,dormant/cold,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0079,06:50,SC-09,night,MB,WRD-M-A + WRD-L-A,guarded,escalating,kitchen table,dormant/cold,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0080,06:57,SC-09,night,M,WRD-M-A,guarded,escalating,kitchen table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0081,07:00,SC-09,night,L,WRD-L-A,guarded,escalating,kitchen table,dormant/cold,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0082,07:06,SC-09,night,M,WRD-M-A,guarded,escalating,kitchen table,dormant/cold,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0083,07:13,SC-09,night,NONE,-,guarded,escalating,kitchen table,dormant/cold,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0084,07:22,SC-09,night,M,WRD-M-A,guarded,escalating,kitchen table,dormant/cold,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0085,07:27,SC-09,night,MB,WRD-M-A + WRD-L-A,guarded,escalating,kitchen table,dormant/cold,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0086,07:35,SC-09,night,MB,WRD-M-A + WRD-L-A,guarded,escalating,kitchen table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0087,07:39,SC-09,night,NONE,-,guarded,escalating,kitchen table,dormant/cold,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0088,07:49,SC-09,night,L,WRD-L-A,guarded,escalating,kitchen table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0089,07:56,SC-09,night,NONE,-,guarded,escalating,kitchen table,dormant/cold,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0090,08:04,SC-09,night,NONE,-,guarded,escalating,kitchen table,dormant/cold,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0091,08:16,SC-09,night,MB,WRD-M-A + WRD-L-A,guarded,escalating,kitchen table,dormant/cold,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0092,08:23,SC-09,night,L,WRD-L-A,guarded,escalating,kitchen table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0093,08:28,SC-09,night,M,WRD-M-A,guarded,escalating,kitchen table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0094,08:37,SC-09,night,L,WRD-L-A,guarded,escalating,kitchen table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0095,08:40,SC-09,night,M,WRD-M-A,guarded,escalating,kitchen table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0096,08:43,SC-09,night,NONE,-,guarded,escalating,kitchen table,dormant/cold,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0097,08:46,SC-09,night,MB,WRD-M-A + WRD-L-A,guarded,escalating,kitchen table,dormant/cold,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0098,08:52,SC-09,night,M,WRD-M-A,guarded,escalating,kitchen table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0099,08:59,SC-09,night,L,WRD-L-A,guarded,escalating,kitchen table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0100,09:07,SC-09,night,M,WRD-M-A,guarded,escalating,kitchen table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0101,09:10,SC-10,night,M,WRD-M-A,exposed,escalating,kitchen table,dormant/cold,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0102,09:16,SC-10,night,MB,WRD-M-A + WRD-L-A,exposed,escalating,kitchen table,dormant/cold,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0103,09:23,SC-10,night,M,WRD-M-A,exposed,escalating,kitchen table,dormant/cold,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0104,09:27,SC-10,night,L,WRD-L-A,exposed,escalating,kitchen table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0105,09:31,SC-10,night,M,WRD-M-A,exposed,escalating,kitchen table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0106,09:34,SC-10,night,L,WRD-L-A,exposed,escalating,kitchen table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0107,09:42,SC-10,night,MB,WRD-M-A + WRD-L-A,exposed,escalating,kitchen table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0108,09:51,SC-10,night,M,WRD-M-A,exposed,escalating,kitchen table,dormant/cold,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0109,09:56,SC-10,night,MB,WRD-M-A + WRD-L-A,exposed,escalating,kitchen table,dormant/cold,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0110,10:05,SC-10,night,M,WRD-M-A,exposed,escalating,kitchen table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0111,10:10,SC-10,night,M,WRD-M-A,exposed,escalating,kitchen table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0112,10:18,SC-10,night,L,WRD-L-A,exposed,escalating,kitchen table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0113,10:24,SC-10,night,MB,WRD-M-A + WRD-L-A,exposed,escalating,kitchen table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0114,10:30,SC-10,night,M,WRD-M-A,exposed,escalating,kitchen table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0115,10:35,SC-10,night,L,WRD-L-A,exposed,escalating,kitchen table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0116,10:45,SC-10,night,L,WRD-L-A,exposed,escalating,kitchen table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0117,10:54,SC-10,night,M,WRD-M-A,exposed,escalating,kitchen table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0118,10:59,SC-10,night,L,WRD-L-A,exposed,escalating,kitchen table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0119,11:09,SC-10,night,MB,WRD-M-A + WRD-L-A,exposed,escalating,kitchen table,dormant/cold,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0120,11:15,SC-10,night,L,WRD-L-A,exposed,escalating,kitchen table,dormant/cold,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0121,11:22,SC-11,night,L,WRD-L-A,exposed,escalating,coffee table,dormant/cold,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0122,11:28,SC-11,night,MB,WRD-M-A + WRD-L-A,exposed,escalating,coffee table,dormant/cold,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0123,11:36,SC-11,night,MB,WRD-M-A + WRD-L-A,exposed,escalating,coffee table,dormant/cold,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0124,11:45,SC-11,night,M,WRD-M-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0125,11:48,SC-11,night,MB,WRD-M-A + WRD-L-A,exposed,escalating,coffee table,active,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0126,11:52,SC-11,night,D,WRD-D-A,exposed,escalating,coffee table,active,on,light rain,cold toward room / warm away,NONE - four bare hooks,DOUBLE EYELINE=MILES
SH0127,12:04,SC-11,night,L,WRD-L-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0128,12:09,SC-11,night,D,WRD-D-A,exposed,escalating,coffee table,active,on,light rain,cold toward room / warm away,NONE - four bare hooks,DOUBLE EYELINE=MILES
SH0129,12:13,SC-11,night,L,WRD-L-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0130,12:20,SC-11,night,D,WRD-D-A,exposed,escalating,coffee table,active,on,light rain,cold toward room / warm away,NONE - four bare hooks,DOUBLE EYELINE=MILES
SH0131,12:25,SC-11,night,L,WRD-L-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0132,12:28,SC-11,night,D,WRD-D-A,exposed,escalating,coffee table,active,on,light rain,cold toward room / warm away,NONE - four bare hooks,DOUBLE EYELINE=MILES
SH0133,12:37,SC-11,night,NONE,-,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0134,12:42,SC-11,night,D,WRD-D-A,exposed,escalating,coffee table,active,on,light rain,cold toward room / warm away,NONE - four bare hooks,DOUBLE EYELINE=MILES
SH0135,12:49,SC-11,night,L,WRD-L-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0136,12:54,SC-11,night,M,WRD-M-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0137,12:58,SC-11,night,D,WRD-D-A,exposed,escalating,coffee table,active,on,light rain,cold toward room / warm away,NONE - four bare hooks,DOUBLE EYELINE=MILES
SH0138,13:05,SC-11,night,D,WRD-D-A,exposed,escalating,coffee table,active,on,light rain,cold toward room / warm away,NONE - four bare hooks,DOUBLE EYELINE=MILES
SH0139,13:10,SC-11,night,L,WRD-L-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0140,13:13,SC-11,night,D,WRD-D-A,exposed,escalating,coffee table,active,on,light rain,cold toward room / warm away,NONE - four bare hooks,DOUBLE EYELINE=MILES
SH0141,13:22,SC-11,night,MB,WRD-M-A + WRD-L-A,exposed,escalating,coffee table,active,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0142,13:30,SC-11,night,L,WRD-L-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0143,13:33,SC-11,night,D,WRD-D-A,exposed,escalating,coffee table,active,on,light rain,cold toward room / warm away,NONE - four bare hooks,DOUBLE EYELINE=MILES
SH0144,13:40,SC-11,night,M,WRD-M-A,exposed,escalating,coffee table,active,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0145,13:48,SC-11,night,D,WRD-D-A,exposed,escalating,coffee table,active,on,light rain,cold toward room / warm away,NONE - four bare hooks,DOUBLE EYELINE=MILES
SH0146,13:56,SC-11,night,L,WRD-L-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0147,14:00,SC-11,night,D,WRD-D-A,exposed,escalating,coffee table,active,on,light rain,cold toward room / warm away,NONE - four bare hooks,DOUBLE EYELINE=MILES
SH0148,14:07,SC-11,night,MB,WRD-M-A + WRD-L-A,exposed,escalating,coffee table,dormant/cold,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0149,14:10,SC-11,night,MB,WRD-M-A + WRD-L-A,exposed,escalating,coffee table,dormant/cold,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0150,14:17,SC-11,night,L,WRD-L-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0151,14:21,SC-11,night,M,WRD-M-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0152,14:24,SC-11,night,MB,WRD-M-A + WRD-L-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0153,14:31,SC-11,night,L,WRD-L-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0154,14:40,SC-11,night,M,WRD-M-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0155,14:50,SC-11,night,MB,WRD-M-A + WRD-L-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0156,14:53,SC-12,night,M,WRD-M-A,exposed,escalating,drawer/cooler (failing),dormant/cold,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0157,14:59,SC-12,night,NONE,-,exposed,escalating,drawer/cooler (failing),dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0158,15:06,SC-12,night,M,WRD-M-A,exposed,escalating,drawer/cooler (failing),dormant/cold,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0159,15:13,SC-12,night,M,WRD-M-A,exposed,escalating,drawer/cooler (failing),dormant/cold,OUT (breaker),light rain,-,NONE - four bare hooks,
SH0160,15:22,SC-12,night,M,WRD-M-A,exposed,escalating,drawer/cooler (failing),active,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0161,15:32,SC-13,night,NONE,-,exposed,escalating,-,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0162,15:45,SC-14,night,MB,WRD-M-A + WRD-L-A,exposed,escalating,coffee table,dormant/cold,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0163,15:53,SC-14,night,M,WRD-M-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0164,16:02,SC-14,night,L,WRD-L-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0165,16:09,SC-14,night,M,WRD-M-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0166,16:15,SC-14,night,L,WRD-L-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0167,16:20,SC-14,night,L,WRD-L-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0168,16:31,SC-14,night,M,WRD-M-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0169,16:39,SC-14,night,NONE,-,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0170,16:46,SC-14,night,L,WRD-L-A,exposed,escalating,coffee table,dormant/cold,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0171,16:53,SC-14,night,L,WRD-L-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0172,17:07,SC-14,night,L,WRD-L-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0173,17:12,SC-14,night,M,WRD-M-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0174,17:15,SC-14,night,L,WRD-L-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0175,17:25,SC-14,night,L,WRD-L-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0176,17:37,SC-14,night,L,WRD-L-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0177,17:43,SC-14,night,M,WRD-M-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0178,17:50,SC-14,night,M,WRD-M-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0179,17:57,SC-14,night,MB,WRD-M-A + WRD-L-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0180,18:02,SC-14,night,MB,WRD-M-A + WRD-L-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0181,18:12,SC-14,night,L,WRD-L-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0182,18:18,SC-14,night,L,WRD-L-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0183,18:26,SC-14,night,MB,WRD-M-A + WRD-L-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0184,18:33,SC-14,night,M,WRD-M-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0185,18:42,SC-14,night,L,WRD-L-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0186,18:50,SC-14,night,M,WRD-M-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0187,18:56,SC-14,night,MB,WRD-M-A + WRD-L-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0188,19:03,SC-14,night,M,WRD-M-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0189,19:12,SC-14,night,L,WRD-L-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0190,19:21,SC-14,night,NONE,-,exposed,escalating,coffee table,dormant/cold,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0191,19:28,SC-14,night,MB,WRD-M-A + WRD-L-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0192,19:40,SC-14,night,L,WRD-L-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0193,19:47,SC-14,night,M,WRD-M-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0194,19:52,SC-14,night,M,WRD-M-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0195,20:00,SC-14,night,L,WRD-L-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0196,20:11,SC-14,night,M,WRD-M-A,exposed,escalating,coffee table,dormant/cold,on,light rain,-,NONE - four bare hooks,
