shot_id,scene_id,act,slugline,tc_in,tc_out,runtime_in,dur_s,assembly_s,framing,movement,lens_mm,subjects,location,lighting,device_in_frame,physical_contact,countdown_reads,music_cue,sound_cue,dialogue,action,qc_note,seed
SH0036,SC-04,TEASER,INT. WARD HOUSE / LIVING ROOM - EVENING,01:02:30:00,01:02:34:00,02:30,4,5,MCU,STATIC,65,L,LIVING,WARM_LOW,,,,,,LAUREN: We're not from around here.,"LAUREN looks toward the window, and the noise, and the ordinary street.","PLANT P9. TITLE DROP, SIDEWAYS. Play it as a bored joke about the neighbours.",1435
SH0037,SC-04,TEASER,INT. WARD HOUSE / LIVING ROOM - EVENING,01:02:34:00,01:02:37:00,02:34,3,4,MCU,STATIC,65,M,LIVING,WARM_LOW,,,,,The party. Room tone. No score.,,MILES looks at her. A quarter of a second too long.,,1436
SH0038,SC-04,TEASER,INT. WARD HOUSE / LIVING ROOM - EVENING,01:02:37:00,01:02:42:00,02:37,5,6,MED-2S,STATIC,40,MB,LIVING,WARM_LOW,,,,,,LAUREN: Them. They're from Ohio. She tells everybody. | MILES: I know what you meant.,"She indicates the window, meaning the neighbours.",,1437
SH0039,SC-04,TEASER,INT. WARD HOUSE / LIVING ROOM - EVENING,01:02:42:00,01:02:45:00,02:42,3,4,MCU,STATIC,65,M,LIVING,WARM_LOW,,,,M01,,,MILES holds the look a beat longer than the joke needs. Then he looks away.,,1438
SH0040,SC-05,TEASER,INT. WARD HOUSE / FRONT DOOR - LATER,01:02:45:00,01:02:49:00,02:45,4,5,MED,STATIC,40,M,ENTRY,WARM_LOW,,,,,Deadbolt. Floorboard.,,MILES at the front door. He turns the deadbolt. Solid. Done. He takes two steps away.,,1539
SH0041,SC-05,TEASER,INT. WARD HOUSE / FRONT DOOR - LATER,01:02:49:00,01:02:54:00,02:49,5,6,CU,STATIC,65,M,ENTRY,WARM_LOW,,,,,"Deadbolt, second time. His breath.",,He comes back and turns it again. Then tests it with the flat of his palm.,PLANT P6.,1540
SH0042,SC-05,TEASER,INT. WARD HOUSE / FRONT DOOR - LATER,01:02:54:00,01:03:00:00,02:54,6,7,MED,SLOW PUSH,50,M,ENTRY,WARM_LOW,,,,M01,,,"He leans in to the narrow window beside the door and looks down the street. Left. Then right. Then back to the left, and holds there, longer.",PLANT P6. Log this exact sightline; SC-20 uses it.,1541
SH0043,SC-05,TEASER,INT. WARD HOUSE / FRONT DOOR - LATER,01:03:00:00,01:03:05:00,03:00,5,6,MED,STATIC,50,L,HALL,WARM_LOW,,,,,,,LAUREN in the hall behind him with a glass of water. She says nothing. She has watched him do this a thousand times.,,1542
SH0044,SC-05,TEASER,INT. WARD HOUSE / FRONT DOOR - LATER,01:03:05:00,01:03:11:00,03:05,6,7,MED-TRACK,TRACK,40,L,HALL,WARM_LOW,,,,M01,,,"She turns back toward the kitchen. As she passes the wall, the camera drifts off her and finds a cheap hardware-store calendar. One date circled in blue ballpoint. Nothing written in the square. She goes past without looking at it - which is its own kind of looking.",PLANT P7. The circled date is 14 October. Pays off SC-14.,1543
SH0045,SC-06,TEASER,INT. WARD HOUSE / LIVING ROOM & FRONT DOOR - CONTINUOUS,01:03:11:00,01:03:16:00,03:11,5,6,WIDE-2S,STATIC,35,MB,LIVING,WARM_LOW,,,,M01,"Television low. Rain begins, very light, on the window.",,"The living room. The film plays. Lauren settles. Miles comes in and sits. For a moment, nothing at all: a warm room and two people in it.",,1644
SH0046,SC-06,TEASER,INT. WARD HOUSE / LIVING ROOM & FRONT DOOR - CONTINUOUS,01:03:16:00,01:03:19:00,03:16,3,3,MED-2S,STATIC,40,MB,LIVING,WARM_LOW,,,,,DING-DONG. Loud in the mix. One of only two loud sounds in the episode.,,THE DOORBELL. Neither of them moves.,,1645
SH0047,SC-06,TEASER,INT. WARD HOUSE / LIVING ROOM & FRONT DOOR - CONTINUOUS,01:03:19:00,01:03:26:00,03:19,7,8,MED-2S,STATIC,40,MB,LIVING,WARM_LOW,,,,M03,,LAUREN: Did you order something? | MILES: No. | MILES: Did you? | LAUREN: No.,They look at each other. The pause after the second question is far longer than the question deserves.,,1646
SH0048,SC-06,TEASER,INT. WARD HOUSE / LIVING ROOM & FRONT DOOR - CONTINUOUS,01:03:26:00,01:03:30:00,03:26,4,5,MED,HANDHELD-SUBTLE,35,M,ENTRY,WARM_LOW,,,,M03,Chain. Deadbolt. Door seal. Night air and rain.,,MILES unlocks and opens the door on the chain first. Then all the way.,,1647
SH0049,SC-06,TEASER,INT. WARD HOUSE / LIVING ROOM & FRONT DOOR - CONTINUOUS,01:03:30:00,01:03:37:00,03:30,7,8,WIDE-POV,SLOW PUSH,28,NONE,PORCH,STREET_NIGHT,Y,,,,"Rain. The party, two doors down, still going.",,"MILES' POV: the porch is empty. The street is empty. The mat is dark with rain. On the mat, dead centre and squared perfectly to the edge of the step, sits a small brown box.",The box's placement is unnaturally precise. Square it to the step with a set square.,1648
SH0050,TITLE,TITLE,MAIN TITLE,01:03:37:00,01:03:57:00,03:37,20,20,TITLE,STATIC,0,NONE,PALE,PALE_FLAT,,,,M02,One tone. Then nothing.,,"Black. A single low sustained tone, unresolved, more felt than heard. The main title resolves out of the black letter by letter in thin, wide-tracked type: WE'RE FROM THE FUTURE. The tone stops. The card holds three seconds in total silence. Then it is gone.",No stinger. No whoosh. The absence of an impact is the statement.,9049
SH0051,SC-07,ACT ONE,INT. WARD HOUSE / ENTRY - NIGHT,01:03:57:00,01:04:04:00,03:57,7,8,WIDE,STATIC,35,MB,ENTRY,WARM_LOW,Y,,,M03,Rain outside. The house very quiet.,,"The entry hall. The box sits on the floor where Miles set it down. Neither of them has come closer than four feet. It is small, brown, unbranded, and utterly ordinary, which is the problem.",,1750
SH0052,SC-07,ACT ONE,INT. WARD HOUSE / ENTRY - NIGHT,01:04:04:00,01:04:07:00,04:04,3,4,MCU,STATIC,50,M,ENTRY,WARM_LOW,,,,,,MILES: Don't touch it.,MILES.,,1751
SH0053,SC-07,ACT ONE,INT. WARD HOUSE / ENTRY - NIGHT,01:04:07:00,01:04:12:00,04:07,5,6,MED,STATIC,40,L,ENTRY,WARM_LOW,Y,,,,,LAUREN: It's dry.,LAUREN is already crouched beside it with her palm flat on the top. She always touches first. It is the whole character.,CHARACTER-CRITICAL: she has touched it before he finished the sentence.,1752
SH0054,SC-07,ACT ONE,INT. WARD HOUSE / ENTRY - NIGHT,01:04:12:00,01:04:19:00,04:12,7,8,MED-2S,STATIC,40,MB,ENTRY,WARM_LOW,Y,,,,,MILES: What? | LAUREN: It rained. The mat's soaked through. This is dry.,,,1753
SH0055,SC-07,ACT ONE,INT. WARD HOUSE / ENTRY - NIGHT,01:04:19:00,01:04:25:00,04:19,6,7,ECU-INSERT,SLOW PUSH,100,NONE,ENTRY,WARM_LOW,Y,,,,,"LAUREN: And the corners are perfect. Miles, look at the corners.","Her thumb travels along an edge of the box. Every corner is sharp. No crush, no scuff, no thumbprint, no depot smear. It does not look like a thing that has been anywhere.",,1754
SH0056,SC-07,ACT ONE,INT. WARD HOUSE / ENTRY - NIGHT,01:04:25:00,01:04:31:00,04:25,6,7,MED-2S,SLOW PUSH,40,MB,ENTRY,WARM_LOW,Y,,,M03,"Rain. Refrigerator, distantly.",,He crouches beside her. Looks. Says nothing at all.,,1755
SH0057,SC-08,ACT ONE,INT. WARD HOUSE / KITCHEN - NIGHT,01:04:31:00,01:04:36:00,04:31,5,6,WIDE-2S,STATIC,35,MB,KITCHEN,KITCHEN_OVERHEAD,Y,,,M03,,,"The kitchen. They have put the box under the overhead light, on the table, on a folded tea towel - an absurd, careful, entirely domestic instinct.",,1856
SH0058,SC-08,ACT ONE,INT. WARD HOUSE / KITCHEN - NIGHT,01:04:36:00,01:04:40:00,04:36,4,5,MED,STATIC,50,L,KITCHEN,KITCHEN_OVERHEAD,Y,,,,,,LAUREN turns the box. On one face: a label.,,1857
SH0059,SC-08,ACT ONE,INT. WARD HOUSE / KITCHEN - NIGHT,01:04:40:00,01:04:50:00,04:40,10,12,ECU-INSERT,SLOW PUSH,100,NONE,KITCHEN,KITCHEN_OVERHEAD,Y,,,,,,"THE LABEL. White, printed, correct in every visual respect and wrong in every specific one. Their address. No sender. No carrier name, no logo, no service class. There is a barcode - or rather, the SHAPE of a barcode: the bars do not repeat the way bars repeat.",Typography must be plausible at a glance and unreadable as a system on inspection.,1858
SH0060,SC-08,ACT ONE,INT. WARD HOUSE / KITCHEN - NIGHT,01:04:50:00,01:04:55:00,04:50,5,6,MED-2S,STATIC,40,MB,KITCHEN,KITCHEN_OVERHEAD,Y,,,,,LAUREN: There's no company on it. | MILES: There's a barcode. | LAUREN: There's a barcode shape.,,,1859
SH0061,SC-08,ACT ONE,INT. WARD HOUSE / KITCHEN - NIGHT,01:04:55:00,01:05:03:00,04:55,8,9,ECU-INSERT,SLOW PUSH,100,NONE,KITCHEN,KITCHEN_OVERHEAD,Y,,,M03,,,"Lower on the label, in blue ballpoint, in a small neat hand: '1 of 1', and a six-digit consignment number. The seven in it is crossed.",PAYOFF P3. The audience has seen her abort this exact stroke 5 minutes ago. Hold on the crossbar.,1860
SH0062,SC-08,ACT ONE,INT. WARD HOUSE / KITCHEN - NIGHT,01:05:03:00,01:05:10:00,05:03,7,8,CU,SLOW PUSH,75,L,KITCHEN,KITCHEN_OVERHEAD,,,,M04,Score out. Refrigerator hum only.,,LAUREN leans closer. Her eyes travel down to the handwritten line. And she stops. Everything about her stops.,,1861
SH0063,SC-08,ACT ONE,INT. WARD HOUSE / KITCHEN - NIGHT,01:05:10:00,01:05:18:00,05:10,8,9,MED-2S,STATIC,40,MB,KITCHEN,KITCHEN_OVERHEAD,,,,,,MILES: What? | LAUREN: Nothing. | MILES: Lauren. | LAUREN: It's nothing.,,,1862
SH0064,SC-08,ACT ONE,INT. WARD HOUSE / KITCHEN - NIGHT,01:05:18:00,01:05:24:00,05:18,6,7,CU-INSERT,STATIC,100,NONE,KITCHEN,KITCHEN_OVERHEAD,Y,,,,,,She puts her hand flat over the bottom of the label. Which is not nothing.,"First lie of the night, and it is HERS. Small, and it matters.",1863
SH0065,SC-08,ACT ONE,INT. WARD HOUSE / KITCHEN - NIGHT,01:05:24:00,01:05:28:00,05:24,4,5,MCU,STATIC,65,M,KITCHEN,KITCHEN_OVERHEAD,,,,,,,MILES watches her hand. He does not ask again.,,1864
SH0066,SC-08,ACT ONE,INT. WARD HOUSE / KITCHEN - NIGHT,01:05:28:00,01:05:35:00,05:28,7,8,MED,STATIC,40,M,KITCHEN,KITCHEN_OVERHEAD,,,,,,MILES: We put it in the car. We drive out to the county road. We leave it.,"MILES, flat, already planning.",,1865
SH0067,SC-08,ACT ONE,INT. WARD HOUSE / KITCHEN - NIGHT,01:05:35:00,01:05:41:00,05:35,6,7,MED-2S,STATIC,40,MB,KITCHEN,KITCHEN_OVERHEAD,,,,,,LAUREN: And then what. | MILES: Then it's somewhere else. | LAUREN: Then it's somewhere else and we come home to this house. Which somebody stood in front of.,,,1866
SH0068,SC-08,ACT ONE,INT. WARD HOUSE / KITCHEN - NIGHT,01:05:41:00,01:05:45:00,05:41,4,5,MCU,STATIC,65,M,KITCHEN,KITCHEN_OVERHEAD,,,,,,,He has nothing.,,1867
SH0069,SC-08,ACT ONE,INT. WARD HOUSE / KITCHEN - NIGHT,01:05:45:00,01:05:52:00,05:45,7,8,MCU,SLOW PUSH,65,L,KITCHEN,KITCHEN_OVERHEAD,,,,,,"LAUREN: If someone knows where we live, then the box is the least interesting thing that happened tonight.","LAUREN, reasonable, which is worse.",,1868
SH0070,SC-08,ACT ONE,INT. WARD HOUSE / KITCHEN - NIGHT,01:05:52:00,01:06:00:00,05:52,8,9,WIDE-2S,STATIC,35,MB,KITCHEN,KITCHEN_OVERHEAD,,,,M04,Compressor kicks in. Rain on glass. Nothing else.,,A long moment. The refrigerator cycles on. Rain restarts against the window over the sink.,Silence #2. Three full seconds with no dialogue and no score.,1869
SH0071,SC-08,ACT ONE,INT. WARD HOUSE / KITCHEN - NIGHT,01:06:00:00,01:06:09:00,06:00,9,10,MED-2S,STATIC,40,MB,KITCHEN,KITCHEN_OVERHEAD,,,,,,MILES: Okay. | LAUREN: Okay? | MILES: We open it. And then we talk. Properly. Not the version where you ask and I say it's fine.,,,1870
SH0072,SC-08,ACT ONE,INT. WARD HOUSE / KITCHEN - NIGHT,01:06:09:00,01:06:14:00,06:09,5,6,MCU,STATIC,65,L,KITCHEN,KITCHEN_OVERHEAD,,,,,,LAUREN: Okay.,"LAUREN, softer than she was.",,1871
SH0073,SC-08,ACT ONE,INT. WARD HOUSE / KITCHEN - NIGHT,01:06:14:00,01:06:18:00,06:14,4,5,CU-INSERT,STATIC,100,NONE,KITCHEN,KITCHEN_OVERHEAD,,,,,Steel leaving wood.,,She takes a knife from the block. The good one.,,1872
SH0074,SC-08,ACT ONE,INT. WARD HOUSE / KITCHEN - NIGHT,01:06:18:00,01:06:24:00,06:18,6,7,ECU-INSERT,STATIC,100,NONE,KITCHEN,KITCHEN_OVERHEAD,Y,,,M03,"Tape parting - foregrounded, close-mic'd, almost too loud.",,The blade goes through the tape. It is a small sound and it is enormous.,,1873
SH0075,SC-08,ACT ONE,INT. WARD HOUSE / KITCHEN - NIGHT,01:06:24:00,01:06:33:00,06:24,9,10,MED-2S,SLOW PUSH,40,MB,KITCHEN,KITCHEN_OVERHEAD,Y,,,M03,"Layered domestic: compressor, rain, distant traffic, tape.",,She cuts the second seam. The third. Nobody speaks. The refrigerator hums. Rain. A car two streets over.,Silence #3. The longest held quiet in Act One.,1874
SH0076,SC-08,ACT ONE,INT. WARD HOUSE / KITCHEN - NIGHT,01:06:33:00,01:06:36:00,06:33,3,4,MED-2S,STATIC,40,MB,KITCHEN,KITCHEN_OVERHEAD,,,,,CHIRP. Two startled breaths. Two bad laughs.,MILES: Battery. | LAUREN: Tomorrow.,"CHIRP. They both flinch, hard - and then immediately laugh at themselves, badly, with far too much air in it.","PAYOFF P5, first stage. The joke version. SC-17 is the other one.",1875
SH0077,SC-09,ACT ONE,INT. WARD HOUSE / KITCHEN - CONTINUOUS,01:06:36:00,01:06:41:00,06:36,5,6,MED,STATIC,50,L,KITCHEN,KITCHEN_OVERHEAD,Y,,,M03,Cardboard.,,She opens the flaps.,,1976
SH0078,SC-09,ACT ONE,INT. WARD HOUSE / KITCHEN - CONTINUOUS,01:06:41:00,01:06:50:00,06:41,9,10,ECU-INSERT,SLOW PUSH,100,NONE,KITCHEN,KITCHEN_OVERHEAD,Y,,,,,,"Inside: grey foam, cut to shape. No packing slip, no manual, no plastic, no desiccant. Set into the foam, flat, is the LEAF.","HERO REVEAL. It must not read as a tablet. No frame, no bezel, nothing.",1977
SH0079,SC-09,ACT ONE,INT. WARD HOUSE / KITCHEN - CONTINUOUS,01:06:50:00,01:06:57:00,06:50,7,8,MED-2S,STATIC,40,MB,KITCHEN,KITCHEN_OVERHEAD,Y,,,M04,Score out. Refrigerator. Rain.,,Neither of them says anything for a while. It does not look futuristic. It looks finished.,,1978
SH0080,SC-09,ACT ONE,INT. WARD HOUSE / KITCHEN - CONTINUOUS,01:06:57:00,01:07:00:00,06:57,3,4,MCU,STATIC,65,M,KITCHEN,KITCHEN_OVERHEAD,,,,,,MILES: Don't.,"MILES, quietly.",,1979
SH0081,SC-09,ACT ONE,INT. WARD HOUSE / KITCHEN - CONTINUOUS,01:07:00:00,01:07:06:00,07:00,6,7,MED,HANDHELD-SUBTLE,40,L,KITCHEN,KITCHEN_OVERHEAD,Y,,,,,"LAUREN: It's heavy. | MILES: It's a screen. | LAUREN: No - Miles, hold it.",LAUREN lifts it out of the foam. Two hands.,,1980
SH0082,SC-09,ACT ONE,INT. WARD HOUSE / KITCHEN - CONTINUOUS,01:07:06:00,01:07:13:00,07:06,7,8,CU,STATIC,75,M,KITCHEN,KITCHEN_OVERHEAD,Y,,,,,,"She holds it out. He takes it two-handed, the way you take something borrowed. It is far heavier than it should be.",,1981
